설치장소,설치위치,운영시간,발급민원종류,소재지도로명주소,소재지지번주소,관리기관명,전화번호,위도,경도,데이터기준일자
응암제1동 주민센터,1층 민원실,(평일)08:00~19:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+부동산등기부등본+제적 등본+제적 초본+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 백련산로 179(응암동),서울특별시 은평구 응암동 96-3,서울특별시 은평구 응암제1동주민센터,02-351-5216,37.6006410000,126.9267380000,2026-01-28
응암제2동 주민센터,2층 민원실,(평일)08:00~19:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+부동산등기부등본+제적 등본+제적 초본+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 백련산로 100(응암동),서울특별시 은평구 응암동 229-13,서울특별시 은평구 응암제2동주민센터,02-351-5248,37.5944550000,126.9231395000,2026-01-28
응암제3동 주민센터,1층 현관 입구,(평일)08:00~19:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+부동산등기부등본+제적 등본+제적 초본+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 불광천길 410-17(응암동),서울특별시 은평구 응암동 583-22,서울특별시 은평구 응암제3동주민센터,02-351-5278,37.5921970000,126.9156990000,2026-01-28
응암제3동 주민센터,1층 현관 입구,(평일)08:00~19:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+부동산등기부등본+제적 등본+제적 초본+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 불광천길 410-17(응암동),서울특별시 은평구 응암동 583-22,서울특별시 은평구 응암제3동주민센터,02-351-5278,37.5921970000,126.9156990000,2026-01-28
역촌동 주민센터,1층 민원실,(평일)08:00~19:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+부동산등기부등본+제적 등본+제적 초본+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 연서로 59(역촌동),서울특별시 은평구 역촌동 62-26,서울특별시 은평구 역촌동주민센터,02-351-5308,37.6044160000,126.9151630000,2026-01-28
역촌동 주민센터,1층 민원실,(평일)08:00~19:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+제적 등본+제적 초본+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 연서로 59(역촌동),서울특별시 은평구 역촌동 62-26,서울특별시 은평구 역촌동주민센터,02-351-5308,37.6044160000,126.9151630000,2026-01-28
신사제1동 주민센터,1층 민원실,(평일)08:00~19:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+부동산등기부등본+제적 등본+제적 초본+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 은평로2길 2(신사동),서울특별시 은평구 신사동 29-2,서울특별시 은평구 신사제1동주민센터,02-351-5340,37.5977505000,126.9117633000,2026-01-28
신사제2동 주민센터,1층 민원실,(평일)08:00~19:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+부동산등기부등본+제적 등본+제적 초본+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 증산로15길 47(신사동),서울특별시 은평구 신사동 163-17,서울특별시 은평구 신사제2동주민센터,02-351-5368,37.5903102000,126.9084840000,2026-01-28
증산동 주민센터,1층 민원실,(평일)08:00~19:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+부동산등기부등본+제적 등본+제적 초본+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 증산서길 89(증산동),서울특별시 은평구 증산동 187-19,서울특별시 은평구 증산동주민센터,02-351-5399,37.5843120000,126.9070090000,2026-01-28
수색동 주민센터,1층 민원실,(평일)08:00~19:00,주민등록등본+주민등록초본+가족관계증명서+기본증명서+혼인관계증명서+입양증명서+개별공시지가확인원+토지(임야)대장+토지이용계획확인원+건축물관리대장+대지권등록부+세목별과세(납세)증명서+국민기초수급자증명+장애인증명+한부모가족증명+건설기계등록원부(갑/을)+자동차등록원부(갑/을)+농지원부+병적증명서+부동산등기부등본+제적 등본+제적 초본+검정고시 성적증명서+검정고시 과목합격 증명서+검정고시 합격증명서+제적(정원외 관리)증명서+성적증명서+교육비납입증명서+학교생활기록부+졸업(예정)증명서+어선원부+사업자등록증명서+휴업사실증명서+폐업사실증명서+사업자단위과세적용종된사업장증명서+모범납세자증명서+근로(자녀)장려금 수급사실증명서+납세증명서+납부내역증명서+소득금액증명서+부가가치세과세표준증명서+부가세면세사업자수입금액증명서+연금보험료등소득·세액공제확인서+소득확인증명서+지역가입자 건강장기요양보험료 납부확인서+지역가입자 건강장기요양보험료 납부확인서(연말정산용)+직장가입자 건강장기요양보험료 납부확인서+지역가입자국민연금보험료 납부확인서+직장가입자국민연금보험료 납부확인서+건강보험 자격확인서+건강보험 자격득실확인서,서울특별시 은평구 은평터널로 27(수색동),서울특별시 은평구 수색동 136-50,서울특별시 은평구 수색동주민센터,02-351-5429,37.5841190000,126.8975530000,2026-01-28
